指标名称,Mysteel冶金焦国产价格指数：湿熄：现货价格指数：中国（日）
指标编码,ID00187989
2024-02-06 00:00:00,2305.0
2024-02-05 00:00:00,2305.0
2024-02-04 00:00:00,2305.0
2024-02-02 00:00:00,2305.0
2024-02-01 00:00:00,2305.0
2024-01-31 00:00:00,2312.0
2024-01-30 00:00:00,2312.0
2024-01-29 00:00:00,2312.0
2024-01-26 00:00:00,2312.0
2024-01-25 00:00:00,2312.0
2024-01-24 00:00:00,2312.0
2024-01-23 00:00:00,2312.0
2024-01-22 00:00:00,2312.0
2024-01-19 00:00:00,2312.0
2024-01-18 00:00:00,2312.0
2024-01-17 00:00:00,2312.0
2024-01-16 00:00:00,2312.0
2024-01-15 00:00:00,2312.0
2024-01-12 00:00:00,2312.0
2024-01-11 00:00:00,2312.0
2024-01-10 00:00:00,2317.8
2024-01-09 00:00:00,2411.3
2024-01-08 00:00:00,2411.3
2024-01-05 00:00:00,2411.3
2024-01-04 00:00:00,2410.9
2024-01-03 00:00:00,2415.7
2024-01-02 00:00:00,2504.6
2023-12-29 00:00:00,2502.5
2023-12-28 00:00:00,2502.5
2023-12-27 00:00:00,2502.5
2023-12-26 00:00:00,2502.5
2023-12-25 00:00:00,2502.5
2023-12-22 00:00:00,2502.5
2023-12-21 00:00:00,2501.6
2023-12-20 00:00:00,2497.4
2023-12-19 00:00:00,2497.4
2023-12-18 00:00:00,2497.4
2023-12-15 00:00:00,2497.4
2023-12-14 00:00:00,2497.4
2023-12-13 00:00:00,2495.4
2023-12-12 00:00:00,2495.4
2023-12-11 00:00:00,2402.9
2023-12-08 00:00:00,2402.9
2023-12-07 00:00:00,2402.9
2023-12-06 00:00:00,2402.9
2023-12-05 00:00:00,2402.9
2023-12-04 00:00:00,2401.8
2023-12-01 00:00:00,2399.4
2023-11-30 00:00:00,2397.6
2023-11-29 00:00:00,2397.6
2023-11-28 00:00:00,2395.1
2023-11-27 00:00:00,2299.6
2023-11-24 00:00:00,2299.6
2023-11-23 00:00:00,2299.6
2023-11-22 00:00:00,2299.6
2023-11-21 00:00:00,2299.6
2023-11-20 00:00:00,2299.6
2023-11-17 00:00:00,2191.3
2023-11-16 00:00:00,2191.3
2023-11-15 00:00:00,2191.3
2023-11-14 00:00:00,2190.6
2023-11-13 00:00:00,2190.6
2023-11-10 00:00:00,2190.6
2023-11-09 00:00:00,2190.6
2023-11-08 00:00:00,2190.6
2023-11-07 00:00:00,2190.6
2023-11-06 00:00:00,2190.6
2023-11-03 00:00:00,2190.6
2023-11-02 00:00:00,2190.6
2023-11-01 00:00:00,2190.6
2023-10-31 00:00:00,2192.7
2023-10-30 00:00:00,2284.7
2023-10-27 00:00:00,2285.8
2023-10-26 00:00:00,2285.8
2023-10-25 00:00:00,2285.8
2023-10-24 00:00:00,2285.8
2023-10-23 00:00:00,2285.8
2023-10-20 00:00:00,2285.8
2023-10-19 00:00:00,2285.8
2023-10-18 00:00:00,2285.8
2023-10-17 00:00:00,2285.8
2023-10-16 00:00:00,2285.8
2023-10-13 00:00:00,2285.8
2023-10-12 00:00:00,2285.8
2023-10-11 00:00:00,2284.7
2023-10-10 00:00:00,2284.7
2023-10-09 00:00:00,2284.7
2023-10-08 00:00:00,2284.7
2023-10-07 00:00:00,2282.5
2023-09-28 00:00:00,2278.1
2023-09-27 00:00:00,2277.8
2023-09-26 00:00:00,2176.0
2023-09-25 00:00:00,2176.0
2023-09-22 00:00:00,2176.0
2023-09-21 00:00:00,2175.9
2023-09-20 00:00:00,2169.7
2023-09-19 00:00:00,2080.5
