指标名称,煤炭：进口：蒙古产：通关量：甘其毛都口岸（日）
指标编码,RE00024806
2024-05-25 00:00:00,176715.0
2024-05-24 00:00:00,142560.0
2024-05-23 00:00:00,0.0
2024-05-22 00:00:00,121095.0
2024-05-21 00:00:00,141480.0
2024-05-20 00:00:00,155385.0
2024-05-18 00:00:00,177390.0
2024-05-17 00:00:00,158355.0
2024-05-16 00:00:00,156870.0
2024-05-15 00:00:00,140265.0
2024-05-14 00:00:00,159705.0
2024-05-13 00:00:00,153495.0
2024-05-11 00:00:00,171450.0
2024-05-10 00:00:00,146880.0
2024-05-09 00:00:00,170640.0
2024-05-08 00:00:00,147960.0
2024-05-07 00:00:00,154440.0
2024-05-06 00:00:00,141210.0
2024-05-04 00:00:00,147150.0
2024-04-30 00:00:00,106785.0
2024-04-29 00:00:00,115425.0
2024-04-27 00:00:00,106650.0
2024-04-26 00:00:00,128520.0
2024-04-25 00:00:00,118125.0
2024-04-24 00:00:00,128115.0
2024-04-23 00:00:00,125685.0
2024-04-22 00:00:00,111240.0
2024-04-20 00:00:00,138240.0
2024-04-19 00:00:00,128655.0
2024-04-18 00:00:00,137865.0
2024-04-17 00:00:00,152820.0
2024-04-16 00:00:00,134865.0
2024-04-15 00:00:00,138915.0
2024-04-13 00:00:00,84240.0
2024-04-12 00:00:00,127170.0
2024-04-11 00:00:00,148635.0
2024-04-10 00:00:00,124335.0
2024-04-09 00:00:00,122715.0
2024-04-08 00:00:00,128115.0
2024-04-06 00:00:00,83700.0
2024-04-05 00:00:00,90045.0
2024-04-03 00:00:00,152010.0
2024-04-02 00:00:00,149580.0
2024-04-01 00:00:00,181575.0
2024-03-30 00:00:00,155925.0
2024-03-29 00:00:00,138645.0
2024-03-28 00:00:00,116370.0
2024-03-27 00:00:00,144990.0
2024-03-26 00:00:00,137025.0
2024-03-25 00:00:00,165240.0
2024-03-23 00:00:00,171720.0
2024-03-22 00:00:00,166590.0
2024-03-21 00:00:00,184680.0
2024-03-20 00:00:00,139050.0
2024-03-19 00:00:00,181035.0
2024-03-18 00:00:00,174420.0
2024-03-16 00:00:00,176850.0
2024-03-15 00:00:00,158760.0
2024-03-14 00:00:00,158490.0
2024-03-13 00:00:00,123255.0
2024-03-12 00:00:00,111375.0
2024-03-11 00:00:00,135405.0
2024-03-09 00:00:00,113130.0
2024-03-07 00:00:00,87345.0
2024-03-06 00:00:00,95310.0
2024-03-05 00:00:00,103680.0
2024-03-04 00:00:00,133110.0
2024-03-02 00:00:00,121635.0
2024-03-01 00:00:00,58320.0
2024-02-29 00:00:00,109890.0
2024-02-28 00:00:00,163080.0
2024-02-27 00:00:00,144990.0
2024-02-26 00:00:00,127440.0
2024-02-24 00:00:00,74790.0
2024-02-23 00:00:00,68175.0
2024-02-22 00:00:00,133785.0
2024-02-21 00:00:00,144315.0
2024-02-20 00:00:00,117855.0
2024-02-19 00:00:00,119475.0
2024-02-17 00:00:00,131625.0
2024-02-16 00:00:00,152955.0
2024-02-15 00:00:00,118665.0
2024-02-14 00:00:00,151335.0
2024-02-13 00:00:00,101520.0
2024-02-09 00:00:00,28485.0
2024-02-08 00:00:00,58590.0
2024-02-07 00:00:00,75870.0
2024-02-06 00:00:00,59130.0
2024-02-05 00:00:00,68445.0
2024-02-03 00:00:00,77490.0
2024-02-02 00:00:00,95040.0
2024-02-01 00:00:00,101115.0
2024-01-31 00:00:00,162405.0
2024-01-30 00:00:00,157140.0
2024-01-29 00:00:00,153765.0
2024-01-27 00:00:00,98010.0
2024-01-26 00:00:00,85995.0
2024-01-25 00:00:00,108135.0
2024-01-24 00:00:00,110025.0
2024-01-23 00:00:00,137160.0
2024-01-22 00:00:00,110970.0
2024-01-20 00:00:00,105705.0
2024-01-19 00:00:00,82485.0
2024-01-18 00:00:00,151875.0
2024-01-17 00:00:00,161865.0
2024-01-16 00:00:00,185625.0
2024-01-15 00:00:00,170640.0
2024-01-13 00:00:00,155115.0
2024-01-12 00:00:00,157815.0
2024-01-11 00:00:00,188460.0
2024-01-10 00:00:00,125685.0
2024-01-09 00:00:00,116370.0
2024-01-08 00:00:00,126495.0
2024-01-06 00:00:00,118665.0
2024-01-05 00:00:00,167130.0
2024-01-04 00:00:00,174960.0
2024-01-03 00:00:00,152820.0
2024-01-02 00:00:00,114885.0
2023-12-30 00:00:00,104085.0
2023-12-29 00:00:00,99495.0
2023-12-28 00:00:00,140670.0
2023-12-27 00:00:00,149985.0
2023-12-26 00:00:00,144990.0
2023-12-25 00:00:00,126360.0
2023-12-23 00:00:00,141885.0
2023-12-22 00:00:00,130545.0
2023-12-21 00:00:00,149850.0
2023-12-20 00:00:00,143370.0
2023-12-19 00:00:00,149715.0
2023-12-18 00:00:00,140670.0
2023-12-16 00:00:00,89370.0
2023-12-15 00:00:00,74520.0
2023-12-14 00:00:00,67365.0
2023-12-13 00:00:00,154170.0
2023-12-12 00:00:00,180360.0
2023-12-11 00:00:00,165105.0
2023-12-09 00:00:00,178470.0
2023-12-08 00:00:00,169560.0
2023-12-07 00:00:00,165780.0
2023-12-06 00:00:00,154710.0
2023-12-05 00:00:00,100845.0
2023-12-04 00:00:00,146880.0
2023-12-02 00:00:00,137835.0
2023-12-01 00:00:00,122715.0
2023-11-30 00:00:00,143370.0
2023-11-29 00:00:00,154980.0
2023-11-28 00:00:00,131625.0
2023-11-27 00:00:00,149310.0
2023-11-25 00:00:00,148500.0
2023-11-24 00:00:00,144045.0
2023-11-23 00:00:00,152550.0
2023-11-22 00:00:00,154305.0
2023-11-21 00:00:00,144180.0
2023-11-20 00:00:00,158220.0
2023-11-18 00:00:00,164700.0
2023-11-17 00:00:00,156465.0
2023-11-16 00:00:00,165645.0
2023-11-15 00:00:00,149310.0
2023-11-14 00:00:00,149310.0
2023-11-13 00:00:00,122040.0
2023-11-12 00:00:00,15255.0
2023-11-11 00:00:00,113670.0
2023-11-10 00:00:00,121905.0
2023-11-09 00:00:00,128655.0
2023-11-08 00:00:00,141885.0
2023-11-07 00:00:00,124200.0
2023-11-06 00:00:00,139590.0
2023-11-04 00:00:00,121905.0
2023-11-03 00:00:00,137295.0
2023-11-02 00:00:00,155250.0
2023-11-01 00:00:00,145800.0
2023-10-31 00:00:00,156600.0
2023-10-30 00:00:00,135540.0
2023-10-28 00:00:00,155790.0
2023-10-27 00:00:00,155790.0
2023-10-26 00:00:00,157140.0
2023-10-25 00:00:00,121365.0
2023-10-24 00:00:00,134730.0
2023-10-23 00:00:00,136620.0
2023-10-21 00:00:00,138915.0
2023-10-20 00:00:00,101385.0
2023-10-19 00:00:00,128655.0
2023-10-18 00:00:00,116910.0
2023-10-17 00:00:00,121095.0
2023-10-16 00:00:00,117180.0
2023-10-14 00:00:00,116910.0
2023-10-13 00:00:00,103545.0
2023-10-12 00:00:00,128655.0
2023-10-11 00:00:00,121635.0
2023-10-10 00:00:00,118800.0
2023-10-09 00:00:00,117045.0
2023-09-30 00:00:00,88695.0
2023-09-28 00:00:00,97740.0
2023-09-27 00:00:00,102060.0
2023-09-26 00:00:00,104085.0
2023-09-25 00:00:00,101790.0
2023-09-23 00:00:00,134055.0
2023-09-22 00:00:00,131490.0
2023-09-21 00:00:00,146340.0
2023-09-20 00:00:00,119610.0
2023-09-19 00:00:00,147960.0
2023-09-18 00:00:00,152955.0
2023-09-16 00:00:00,140805.0
2023-09-15 00:00:00,130275.0
2023-09-14 00:00:00,127170.0
2023-09-13 00:00:00,148095.0
2023-09-12 00:00:00,127440.0
2023-09-11 00:00:00,129870.0
2023-09-09 00:00:00,104625.0
2023-09-08 00:00:00,100035.0
2023-09-07 00:00:00,141480.0
2023-09-06 00:00:00,116505.0
2023-09-05 00:00:00,120015.0
2023-09-04 00:00:00,122040.0
2023-09-02 00:00:00,161055.0
2023-09-01 00:00:00,167535.0
2023-08-31 00:00:00,193320.0
2023-08-30 00:00:00,158895.0
2023-08-29 00:00:00,159165.0
2023-08-28 00:00:00,165240.0
2023-08-26 00:00:00,162945.0
2023-08-25 00:00:00,164700.0
2023-08-24 00:00:00,152010.0
2023-08-23 00:00:00,178200.0
2023-08-22 00:00:00,169695.0
2023-08-21 00:00:00,166860.0
2023-08-19 00:00:00,142830.0
2023-08-18 00:00:00,152415.0
2023-08-17 00:00:00,157815.0
2023-08-16 00:00:00,162270.0
2023-08-15 00:00:00,134595.0
2023-08-14 00:00:00,137835.0
2023-08-12 00:00:00,160245.0
2023-08-11 00:00:00,148095.0
2023-08-10 00:00:00,129465.0
2023-08-09 00:00:00,148770.0
2023-08-08 00:00:00,128250.0
2023-08-07 00:00:00,146340.0
2023-08-05 00:00:00,136350.0
2023-08-04 00:00:00,135135.0
2023-08-03 00:00:00,162405.0
2023-08-02 00:00:00,155790.0
2023-08-01 00:00:00,140130.0
2023-07-31 00:00:00,119340.0
2023-07-29 00:00:00,151200.0
2023-07-28 00:00:00,146880.0
2023-07-27 00:00:00,142830.0
2023-07-26 00:00:00,147150.0
2023-07-25 00:00:00,135540.0
2023-07-24 00:00:00,120960.0
2023-07-22 00:00:00,60750.0
2023-07-21 00:00:00,11475.0
2023-07-20 00:00:00,116370.0
2023-07-19 00:00:00,143775.0
2023-07-18 00:00:00,141750.0
2023-07-17 00:00:00,129735.0
2023-07-15 00:00:00,140130.0
2023-07-14 00:00:00,129060.0
2023-07-13 00:00:00,151200.0
2023-07-12 00:00:00,139050.0
2023-07-11 00:00:00,120960.0
2023-07-10 00:00:00,130545.0
2023-07-08 00:00:00,127710.0
2023-07-07 00:00:00,132705.0
2023-07-06 00:00:00,149580.0
2023-07-05 00:00:00,151335.0
2023-07-04 00:00:00,145260.0
2023-07-03 00:00:00,158760.0
2023-07-01 00:00:00,134730.0
2023-06-30 00:00:00,141615.0
2023-06-29 00:00:00,128520.0
2023-06-28 00:00:00,147015.0
2023-06-27 00:00:00,141885.0
2023-06-26 00:00:00,133515.0
2023-06-24 00:00:00,139995.0
2023-06-23 00:00:00,139725.0
2023-06-21 00:00:00,146745.0
2023-06-20 00:00:00,150660.0
2023-06-19 00:00:00,151740.0
2023-06-17 00:00:00,118530.0
2023-06-16 00:00:00,120555.0
2023-06-15 00:00:00,130140.0
2023-06-14 00:00:00,127440.0
