指标名称,纳斯达克指数：收盘价（日）
指标编码,GM0000000319
2023-08-16 00:00:00,13474.63
2023-08-15 00:00:00,13631.05
2023-08-14 00:00:00,13788.33
2023-08-11 00:00:00,13644.85
2023-08-10 00:00:00,13737.99
2023-08-09 00:00:00,13722.02
2023-08-08 00:00:00,13884.32
2023-08-07 00:00:00,13994.4
2023-08-04 00:00:00,13909.24
2023-08-03 00:00:00,13959.72
2023-08-02 00:00:00,13973.45
2023-08-01 00:00:00,14283.91
2023-07-31 00:00:00,14346.02
2023-07-28 00:00:00,14316.66
2023-07-27 00:00:00,14050.11
2023-07-26 00:00:00,14127.28
2023-07-25 00:00:00,14144.56
2023-07-24 00:00:00,14058.87
2023-07-21 00:00:00,14032.81
2023-07-20 00:00:00,14063.31
2023-07-19 00:00:00,14358.02
2023-07-18 00:00:00,14353.64
2023-07-17 00:00:00,14244.95
2023-07-14 00:00:00,14113.7
2023-07-13 00:00:00,14138.57
2023-07-12 00:00:00,13918.96
2023-07-11 00:00:00,13760.7
2023-07-10 00:00:00,13685.48
2023-07-07 00:00:00,13660.72
2023-07-06 00:00:00,13679.04
2023-07-05 00:00:00,13791.65
2023-07-04 00:00:00,13816.77
2023-07-03 00:00:00,13816.77
2023-06-30 00:00:00,13787.92
2023-06-29 00:00:00,13591.33
2023-06-28 00:00:00,13591.75
2023-06-27 00:00:00,13555.67
2023-06-26 00:00:00,13335.78
2023-06-23 00:00:00,13492.52
2023-06-22 00:00:00,13630.61
2023-06-21 00:00:00,13502.2
2023-06-20 00:00:00,13667.29
2023-06-19 00:00:00,13689.57
2023-06-16 00:00:00,13689.57
2023-06-15 00:00:00,13782.82
2023-06-14 00:00:00,13626.48
2023-06-13 00:00:00,13573.32
2023-06-12 00:00:00,13461.92
2023-06-09 00:00:00,13259.14
2023-06-08 00:00:00,13238.52
2023-06-07 00:00:00,13104.9
2023-06-06 00:00:00,13276.42
2023-06-05 00:00:00,13229.43
2023-06-02 00:00:00,13240.77
2023-06-01 00:00:00,13100.98
2023-05-31 00:00:00,12935.29
2023-05-30 00:00:00,13017.43
2023-05-29 00:00:00,12975.69
2023-05-26 00:00:00,12975.69
2023-05-25 00:00:00,12698.09
2023-05-24 00:00:00,12484.16
2023-05-23 00:00:00,12560.25
2023-05-22 00:00:00,12720.78
2023-05-19 00:00:00,12657.9
2023-05-18 00:00:00,12688.84
2023-05-17 00:00:00,12500.57
2023-05-16 00:00:00,12343.05
2023-05-15 00:00:00,12365.21
2023-05-12 00:00:00,12284.74
2023-05-11 00:00:00,12328.51
2023-05-10 00:00:00,12306.44
2023-05-09 00:00:00,12179.55
2023-05-08 00:00:00,12256.92
2023-05-05 00:00:00,12235.41
2023-05-04 00:00:00,11966.4
2023-05-03 00:00:00,12025.33
2023-05-02 00:00:00,12080.51
2023-05-01 00:00:00,12212.6
2023-04-28 00:00:00,12226.58
2023-04-27 00:00:00,12142.24
2023-04-26 00:00:00,11854.35
2023-04-25 00:00:00,11799.16
2023-04-24 00:00:00,12037.2
2023-04-21 00:00:00,12072.46
2023-04-20 00:00:00,12059.56
2023-04-19 00:00:00,12157.23
2023-04-18 00:00:00,12153.41
2023-04-17 00:00:00,12157.72
2023-04-14 00:00:00,12123.47
2023-04-13 00:00:00,12166.27
2023-04-12 00:00:00,11929.34
2023-04-11 00:00:00,12031.88
2023-04-10 00:00:00,12084.36
2023-04-07 00:00:00,12087.96
2023-04-06 00:00:00,12087.96
2023-04-05 00:00:00,11996.86
2023-04-04 00:00:00,12126.33
2023-04-03 00:00:00,12189.45
2023-03-31 00:00:00,12221.91
2023-03-30 00:00:00,12013.47
2023-03-29 00:00:00,11926.24
2023-03-28 00:00:00,11716.08
2023-03-27 00:00:00,11768.84
2023-03-24 00:00:00,11823.96
2023-03-23 00:00:00,11787.4
2023-03-22 00:00:00,11669.96
2023-03-21 00:00:00,11860.11
2023-03-20 00:00:00,11675.54
2023-03-17 00:00:00,11630.51
2023-03-16 00:00:00,11717.28
2023-03-15 00:00:00,11434.05
2023-03-14 00:00:00,11428.15
2023-03-13 00:00:00,11188.84
2023-03-10 00:00:00,11138.89
2023-03-09 00:00:00,11338.35
2023-03-08 00:00:00,11576.0
2023-03-07 00:00:00,11530.33
2023-03-06 00:00:00,11675.74
2023-03-03 00:00:00,11689.01
2023-03-02 00:00:00,11462.98
2023-03-01 00:00:00,11379.48
2023-02-28 00:00:00,11455.54
2023-02-27 00:00:00,11466.98
2023-02-24 00:00:00,11394.94
2023-02-23 00:00:00,11590.4
2023-02-22 00:00:00,11507.07
2023-02-21 00:00:00,11492.3
2023-02-20 00:00:00,11787.27
2023-02-17 00:00:00,11787.27
2023-02-16 00:00:00,11855.83
2023-02-15 00:00:00,12070.59
2023-02-14 00:00:00,11960.15
2023-02-13 00:00:00,11891.79
2023-02-10 00:00:00,11718.12
2023-02-09 00:00:00,11789.58
2023-02-08 00:00:00,11910.52
2023-02-07 00:00:00,12113.79
2023-02-06 00:00:00,11887.45
2023-02-03 00:00:00,12006.95
